"VM","PowerState","Template","Disk","CapacityMB","Raw","DiskMode","Path","Host","vCenter"
"ocpportwx-master3","poweredOn","False","Hard disk 3","32768","False","independent_persistent","[FlashStack-Prod] fcd/2cbb84805ef5412784bcf8f80677f6cb.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"fs-prometheuslab","poweredOn","False","Hard disk 1","102400","False","persistent","[FlashStack-Prod] fs-prometheuslab/fs-prometheuslab-000007.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"fs-prometheuslab","poweredOn","False","Hard disk 2","512000","False","persistent","[FlashStack-Prod] fs-prometheuslab/fs-prometheuslab_1-000006.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"fs-victoriametricslab","poweredOn","False","Hard disk 1","102400","False","persistent","[FlashStack-Prod] fs-victoriametricslab/fs-victoriametricslab-000001.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"fs-victoriametricslab","poweredOn","False","Hard disk 2","512000","False","persistent","[FlashStack-Prod] fs-victoriametricslab/fs-victoriametricslab_1-000001.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"win-jump","poweredOn","False","Hard disk 1","153600","False","persistent","[FlashStack-Misc] win-jump/win-jump.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"oracle-vm-1.puretec.purestorage.com","poweredOn","False","Hard disk 1","102400","False","persistent","[FlashStack-Prod] oracle-vm-1.puretec.purestorage.com/oracle-vm-1.puretec.purestorage.com.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"oracle-vm-1.puretec.purestorage.com","poweredOn","False","Hard disk 2","512000","False","persistent","[FlashStack-Prod] oracle-vm-1.puretec.purestorage.com/oracle-vm-1.puretec.purestorage.com_1.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"Rhel-Test","poweredOff","True","Hard disk 1","40960","False","persistent","[FlashStack-Misc] Rhel-Test/Rhel-Test.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"Rhel-Test","poweredOff","True","Hard disk 2","51200","False","persistent","[FlashStack-Misc] Rhel-Test/Rhel-Test_1.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"host-420","poweredOn","False","Hard disk 1","40960","False","persistent","[FlashStack-Prod] host-420/host-420.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"host-420","poweredOn","False","Hard disk 2","51200","False","persistent","[FlashStack-Prod] host-420/host-420_1.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"mssql-test-1.puretec.purestorage.com","poweredOn","False","Hard disk 1","102400","False","persistent","[FlashStack-Misc] mssql-test-1.puretec.purestorage.com/mssql-test-1.puretec.purestorage.com.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
